,year,region,wine,beer,vodka,champagne,brandy,lat,lon,total_alc
0,1998,Republic of Adygea,1.9,8.8,3.4,0.3,0.1,44.6939006,40.1520421,14.500000000000002
1,1999,Republic of Adygea,2.3,11.2,4.3,0.3,0.1,44.6939006,40.1520421,35.0
2,2000,Republic of Adygea,3.1,27.4,5.4,0.6,0.1,44.6939006,40.1520421,41.7
3,2001,Republic of Adygea,3.8,22.0,7.8,0.5,0.1,44.6939006,40.1520421,27.299999999999997
4,2002,Republic of Adygea,4.4,30.4,7.9,0.7,0.3,44.6939006,40.1520421,31.4
5,2003,Republic of Adygea,4.3,36.2,8.0,1.0,0.5,44.6939006,40.1520421,31.099999999999998
6,2004,Republic of Adygea,4.1,27.5,8.6,1.0,0.3,44.6939006,40.1520421,38.2
7,2005,Republic of Adygea,4.4,29.7,10.4,1.1,0.4,44.6939006,40.1520421,46.1
8,2006,Republic of Adygea,3.8,32.4,8.1,0.7,0.3,44.6939006,40.1520421,26.700000000000003
9,2007,Republic of Adygea,4.1,31.6,6.8,0.7,0.5,44.6939006,40.1520421,35.50000000000001
10,2008,Republic of Adygea,5.6,30.9,6.4,1.8,0.9,44.6939006,40.1520421,45.49999999999999
11,2009,Republic of Adygea,6.8,31.5,7.4,1.6,1.2,44.6939006,40.1520421,47.8
12,2010,Republic of Adygea,6.2,31.5,6.6,1.6,1.0,44.6939006,40.1520421,35.800000000000004
13,2011,Republic of Adygea,3.29,35.82,6.9,1.24,0.75,44.6939006,40.1520421,11.4
14,2012,Republic of Adygea,3.1,34.5,5.6,1.3,0.7,44.6939006,40.1520421,26.099999999999998
15,2013,Republic of Adygea,2.9,37.0,4.7,1.2,0.7,44.6939006,40.1520421,14.799999999999999
16,2014,Republic of Adygea,3.7,28.7,4.1,1.5,0.7,44.6939006,40.1520421,38.34
17,2015,Republic of Adygea,3.9,26.0,3.5,1.2,0.5,44.6939006,40.1520421,
18,2016,Republic of Adygea,3.6,27.3,3.6,1.0,0.5,44.6939006,40.1520421,48.6
19,1998,Altai Krai,3.3,19.2,11.3,1.1,0.1,52.6932243,82.6931424,18.6
20,1999,Altai Krai,2.2,24.7,11.5,1.1,0.1,52.6932243,82.6931424,37.9
21,2000,Altai Krai,2.1,33.2,9.9,1.3,0.1,52.6932243,82.6931424,17.900000000000002
22,2001,Altai Krai,2.3,39.5,12.0,1.4,0.1,52.6932243,82.6931424,43.400000000000006
23,2002,Altai Krai,1.6,42.8,11.4,1.1,0.1,52.6932243,82.6931424,58.199999999999996
24,2003,Altai Krai,1.7,47.7,11.5,1.1,0.1,52.6932243,82.6931424,15.839999999999998
25,2004,Altai Krai,2.0,52.4,14.2,1.3,0.2,52.6932243,82.6931424,35.5
26,2005,Altai Krai,2.0,58.6,10.0,1.1,0.2,52.6932243,82.6931424,47.5
27,2006,Altai Krai,2.2,50.2,9.7,1.0,0.2,52.6932243,82.6931424,27.700000000000003
28,2007,Altai Krai,2.5,52.8,6.9,1.2,0.2,52.6932243,82.6931424,46.7
29,2008,Altai Krai,3.5,53.4,8.2,1.3,0.3,52.6932243,82.6931424,36.8
30,2009,Altai Krai,3.8,51.6,8.5,1.4,0.3,52.6932243,82.6931424,43.99999999999999
31,2010,Altai Krai,4.1,59.0,9.8,1.5,0.4,52.6932243,82.6931424,
32,2011,Altai Krai,4.51,63.39,10.75,1.54,0.4,52.6932243,82.6931424,40.400000000000006
33,2012,Altai Krai,4.8,70.4,11.0,1.5,0.4,52.6932243,82.6931424,29.599999999999998
34,2013,Altai Krai,4.4,64.6,8.7,1.4,0.4,52.6932243,82.6931424,31.900000000000002
35,2014,Altai Krai,4.1,52.5,5.5,1.0,0.3,52.6932243,82.6931424,49.1
36,2015,Altai Krai,4.4,45.8,4.5,0.9,0.3,52.6932243,82.6931424,65.5
37,2016,Altai Krai,4.8,37.3,4.5,0.7,0.3,52.6932243,82.6931424,46.400000000000006
38,1998,Amur Oblast,2.1,21.2,17.3,0.7,0.4,52.8032368,128.437295,33.5
39,1999,Amur Oblast,2.9,26.7,16.2,0.7,0.2,52.8032368,128.437295,59.9
40,2000,Amur Oblast,2.4,28.5,15.8,0.7,0.2,52.8032368,128.437295,30.6
41,2001,Amur Oblast,2.6,31.2,17.6,0.6,0.2,52.8032368,128.437295,45.1
42,2002,Amur Oblast,2.3,35.4,17.9,0.5,0.2,52.8032368,128.437295,27.299999999999997
43,2003,Amur Oblast,5.3,40.4,17.4,0.6,0.2,52.8032368,128.437295,28.999999999999996
44,2004,Amur Oblast,5.2,44.8,18.1,0.6,0.2,52.8032368,128.437295,55.10000000000001
45,2005,Amur Oblast,5.8,48.6,20.8,0.7,0.2,52.8032368,128.437295,41.4
46,2006,Amur Oblast,5.9,54.8,19.3,0.8,0.3,52.8032368,128.437295,62.70000000000001
47,2007,Amur Oblast,5.7,64.6,17.3,1.0,0.3,52.8032368,128.437295,31.199999999999996
48,2008,Amur Oblast,6.5,71.1,13.8,1.2,0.5,52.8032368,128.437295,30.8
49,2009,Amur Oblast,6.9,75.3,10.5,1.2,0.5,52.8032368,128.437295,26.5
50,2010,Amur Oblast,7.6,75.8,11.6,1.6,0.6,52.8032368,128.437295,40.0
51,2011,Amur Oblast,7.21,83.27,12.02,1.9,0.64,52.8032368,128.437295,22.700000000000003
52,2012,Amur Oblast,5.8,75.8,13.3,1.9,0.6,52.8032368,128.437295,18.04
53,2013,Amur Oblast,6.7,75.1,10.2,1.9,0.7,52.8032368,128.437295,20.6
